cik,company,role,role_label,n_facts,has_sep,has_lrc_lic,has_components,has_types,n_types,types_members
00159102,DB손해보험,DI817100,보험계약부채 변동,35187,1,1,1,1,12,"무배당기타, 간접 참가적 [구성요소]; 무배당상해, 간접 참가적 [구성요소]; 무배당상해, 비참가적 [구성요소]; 무배당연금저축, 간접 참가적 [구성요소]; 무배당연금저축, 비참가적 [구성요소]; 무배당재물, 간접 참가적 [구성요소]; 무배당질병, 간접 참가적 [구성요소]; 무배당질병, 비참가적 [구성요소]; 유배당연금저축, 간접 참가적 [구성요소]; 일반"
00159102,DB손해보험,DI817105,보험계약부채 잔액,26516,1,1,1,1,12,"무배당기타, 간접 참가적 [구성요소]; 무배당상해, 간접 참가적 [구성요소]; 무배당상해, 비참가적 [구성요소]; 무배당연금저축, 간접 참가적 [구성요소]; 무배당연금저축, 비참가적 [구성요소]; 무배당재물, 간접 참가적 [구성요소]; 무배당질병, 간접 참가적 [구성요소]; 무배당질병, 비참가적 [구성요소]; 유배당연금저축, 간접 참가적 [구성요소]; 일반"
00159102,DB손해보험,DI817300,보험계약 정보,2112,1,0,1,1,10,"무배당기타, 간접 참가적 [구성요소]; 무배당상해, 간접 참가적 [구성요소]; 무배당상해, 비참가적 [구성요소]; 무배당연금저축, 간접 참가적 [구성요소]; 무배당연금저축, 비참가적 [구성요소]; 무배당재물, 간접 참가적 [구성요소]; 무배당질병, 간접 참가적 [구성요소]; 무배당질병, 비참가적 [구성요소]; 유배당연금저축, 간접 참가적 [구성요소]; 장기"
00159102,DB손해보험,DI817305,보험계약 정보 (잔액),2608,1,0,1,1,29,"무배당기타, 간접 참가적 [구성요소]; 무배당상해, 간접 참가적 [구성요소]; 무배당상해, 비참가적 [구성요소]; 무배당연금저축, 간접 참가적 [구성요소]; 무배당연금저축, 비참가적 [구성요소]; 무배당재물, 간접 참가적 [구성요소]; 무배당질병, 간접 참가적 [구성요소]; 무배당질병, 비참가적 [구성요소]; 보험료배분접근법을 적용하지 않은 보험계약의 모든"
00160393,KB라이프,DI817100,보험계약부채 변동,0,0,0,0,0,0,
00160393,KB라이프,DI817105,보험계약부채 잔액,0,0,0,0,0,0,
00160393,KB라이프,DI817300,보험계약 정보,0,0,0,0,0,0,
00160393,KB라이프,DI817305,보험계약 정보 (잔액),0,0,0,0,0,0,
00112882,교보생명,DI817100,보험계약부채 변동,0,0,0,0,0,0,
00112882,교보생명,DI817105,보험계약부채 잔액,0,0,0,0,0,0,
00112882,교보생명,DI817300,보험계약 정보,0,0,0,0,0,0,
00112882,교보생명,DI817305,보험계약 정보 (잔액),0,0,0,0,0,0,
00117267,동양생명,DI817100,보험계약부채 변동,28137,1,1,1,1,4,건강보험 [구성요소]; 변액 보험 [구성요소]; 사망보험 [구성요소]; 연금저축 및 기타 보험 [구성요소]
00117267,동양생명,DI817105,보험계약부채 잔액,28137,1,1,1,1,4,건강보험 [구성요소]; 변액 보험 [구성요소]; 사망보험 [구성요소]; 연금저축 및 기타 보험 [구성요소]
00117267,동양생명,DI817300,보험계약 정보,6180,1,0,1,0,0,
00117267,동양생명,DI817305,보험계약 정보 (잔액),6180,1,0,1,0,0,
00117744,메리츠화재,DI817100,보험계약부채 변동,0,0,0,0,0,0,
00117744,메리츠화재,DI817105,보험계약부채 잔액,0,0,0,0,0,0,
00117744,메리츠화재,DI817300,보험계약 정보,0,0,0,0,0,0,
00117744,메리츠화재,DI817305,보험계약 정보 (잔액),0,0,0,0,0,0,
00112332,미래에셋생명,DI817100,보험계약부채 변동,18243,1,1,1,1,11,건강보험 [구성요소]; 사망보험 [구성요소]; 사망보험 외; 연금보험; 유배당 외 계약; 유배당계약; 저축보험
00112332,미래에셋생명,DI817105,보험계약부채 잔액,18243,1,1,1,1,11,건강보험 [구성요소]; 사망보험 [구성요소]; 사망보험 외; 연금보험; 유배당 외 계약; 유배당계약; 저축보험
00112332,미래에셋생명,DI817300,보험계약 정보,3232,1,1,1,1,9,건강보험 [구성요소]; 사망보험 [구성요소]; 사망보험 외; 연금보험; 유배당 외 계약; 유배당계약; 저축보험
00112332,미래에셋생명,DI817305,보험계약 정보 (잔액),3232,1,1,1,1,9,건강보험 [구성요소]; 사망보험 [구성요소]; 사망보험 외; 연금보험; 유배당 외 계약; 유배당계약; 저축보험
00126256,삼성생명,DI817100,보험계약부채 변동,9846,1,1,1,1,7,건강보험 [구성요소]; 기타보험 [구성요소]; 무배당보험 [구성요소]; 변액보험 [구성요소]; 사망보험(*); 연금저축보험 [구성요소]; 유배당보험 [구성요소]
00126256,삼성생명,DI817105,보험계약부채 잔액,9846,1,1,1,1,7,건강보험 [구성요소]; 기타보험 [구성요소]; 무배당보험 [구성요소]; 변액보험 [구성요소]; 사망보험(*); 연금저축보험 [구성요소]; 유배당보험 [구성요소]
00126256,삼성생명,DI817300,보험계약 정보,20126,1,0,1,1,6,건강보험 [구성요소]; 무배당보험 [구성요소]; 변액보험 [구성요소]; 사망보험(*); 연금저축보험 [구성요소]; 유배당보험 [구성요소]
00126256,삼성생명,DI817305,보험계약 정보 (잔액),20126,1,0,1,1,6,건강보험 [구성요소]; 무배당보험 [구성요소]; 변액보험 [구성요소]; 사망보험(*); 연금저축보험 [구성요소]; 유배당보험 [구성요소]
00139214,삼성화재,DI817100,보험계약부채 변동,9985,1,1,1,1,3,일반보험 [구성요소]; 자동차보험 [구성요소]; 장기보험 [구성요소]
00139214,삼성화재,DI817105,보험계약부채 잔액,9985,1,1,1,1,3,일반보험 [구성요소]; 자동차보험 [구성요소]; 장기보험 [구성요소]
00139214,삼성화재,DI817300,보험계약 정보,5504,1,1,1,1,3,일반보험 [구성요소]; 자동차보험 [구성요소]; 장기보험 [구성요소]
00139214,삼성화재,DI817305,보험계약 정보 (잔액),5504,1,1,1,1,3,일반보험 [구성요소]; 자동차보험 [구성요소]; 장기보험 [구성요소]
00137517,신한라이프,DI817100,보험계약부채 변동,0,0,0,0,0,0,
00137517,신한라이프,DI817105,보험계약부채 잔액,0,0,0,0,0,0,
00137517,신한라이프,DI817300,보험계약 정보,0,0,0,0,0,0,
00137517,신한라이프,DI817305,보험계약 정보 (잔액),0,0,0,0,0,0,
00113058,한화생명,DI817100,보험계약부채 변동,22920,1,1,1,1,21,"건강보험 [구성요소]; 기타보험 [구성요소]; 무배당 건강보험 [구성요소]; 무배당 보험계약 [구성요소]; 무배당 사망보험 [구성요소]; 무배당 연금저축보험 [구성요소]; 변액보험 [구성요소]; 변액사망보험 [구성요소]; 변액연금,저축보험 [구성요소]; 사망보험 [구성요소]; 연금저축보험 [구성요소]; 유배당 건강보험 [구성요소]; 유배당 기타보험 [구성요"
00113058,한화생명,DI817105,보험계약부채 잔액,18428,1,1,1,1,21,"건강보험 [구성요소]; 기타보험 [구성요소]; 무배당 건강보험 [구성요소]; 무배당 보험계약 [구성요소]; 무배당 사망보험 [구성요소]; 무배당 연금저축보험 [구성요소]; 변액보험 [구성요소]; 변액사망보험 [구성요소]; 변액연금,저축보험 [구성요소]; 사망보험 [구성요소]; 연금저축보험 [구성요소]; 유배당 건강보험 [구성요소]; 유배당 기타보험 [구성요"
00113058,한화생명,DI817300,보험계약 정보,35647,1,1,1,1,32,"건강보험 [구성요소]; 기타보험 [구성요소]; 무배당 건강보험 [구성요소]; 무배당 보험계약 [구성요소]; 무배당 사망보험 [구성요소]; 무배당 연금저축보험 [구성요소]; 변액보험 [구성요소]; 변액사망보험 [구성요소]; 변액연금,저축보험 [구성요소]; 사망보험 [구성요소]; 연금저축보험 [구성요소]; 유배당 건강보험 [구성요소]; 유배당 기타보험 [구성요"
00113058,한화생명,DI817305,보험계약 정보 (잔액),24920,1,1,1,1,32,"건강보험 [구성요소]; 기타보험 [구성요소]; 무배당 건강보험 [구성요소]; 무배당 보험계약 [구성요소]; 무배당 사망보험 [구성요소]; 무배당 연금저축보험 [구성요소]; 변액보험 [구성요소]; 변액사망보험 [구성요소]; 변액연금,저축보험 [구성요소]; 사망보험 [구성요소]; 연금저축보험 [구성요소]; 유배당 건강보험 [구성요소]; 유배당 기타보험 [구성요"
00135917,한화손해보험,DI817100,보험계약부채 변동,14540,1,1,1,1,10,"무배당기타 [구성요소]; 무배당상해 [구성요소]; 무배당연금저축 [구성요소]; 무배당재물 [구성요소]; 무배당질병 [구성요소]; 무배당질병, 비참가적 [구성요소]; 유배당연금저축 [구성요소]; 일반보험 [구성요소]; 자동차보험 [구성요소]; 장기보험 [구성요소]"
00135917,한화손해보험,DI817105,보험계약부채 잔액,14540,1,1,1,1,10,"무배당기타 [구성요소]; 무배당상해 [구성요소]; 무배당연금저축 [구성요소]; 무배당재물 [구성요소]; 무배당질병 [구성요소]; 무배당질병, 비참가적 [구성요소]; 유배당연금저축 [구성요소]; 일반보험 [구성요소]; 자동차보험 [구성요소]; 장기보험 [구성요소]"
00135917,한화손해보험,DI817300,보험계약 정보,4940,1,0,1,1,27,"무배당기타, 간접 참가적 [구성요소]; 무배당기타, 비참가적 [구성요소]; 무배당기타, 참가적 [구성요소]; 무배당상해, 간접 참가적 [구성요소]; 무배당상해, 비참가적 [구성요소]; 무배당상해, 참가적 [구성요소]; 무배당연금저축, 간접 참가적 [구성요소]; 무배당연금저축, 비참가적 [구성요소]; 무배당연금저축, 참가적 [구성요소]; 무배당재물, 간접 참"
00135917,한화손해보험,DI817305,보험계약 정보 (잔액),4940,1,0,1,1,27,"무배당기타, 간접 참가적 [구성요소]; 무배당기타, 비참가적 [구성요소]; 무배당기타, 참가적 [구성요소]; 무배당상해, 간접 참가적 [구성요소]; 무배당상해, 비참가적 [구성요소]; 무배당상해, 참가적 [구성요소]; 무배당연금저축, 간접 참가적 [구성요소]; 무배당연금저축, 비참가적 [구성요소]; 무배당연금저축, 참가적 [구성요소]; 무배당재물, 간접 참"
00164973,현대해상,DI817100,보험계약부채 변동,20900,1,1,1,1,14,"무배당상해, 금리고정형 [구성요소]; 무배당상해, 금리연동형 [구성요소]; 무배당연금저축, 금리고정형 [구성요소]; 무배당연금저축, 금리연동형 [구성요소]; 무배당재물, 금리고정형 [구성요소]; 무배당재물, 금리연동형 [구성요소]; 무배당질병, 금리고정형 [구성요소]; 무배당질병, 금리연동형 [구성요소]; 유배당기타, 금리연동형 [구성요소]; 유배당연금저축"
00164973,현대해상,DI817105,보험계약부채 잔액,20900,1,1,1,1,14,"무배당상해, 금리고정형 [구성요소]; 무배당상해, 금리연동형 [구성요소]; 무배당연금저축, 금리고정형 [구성요소]; 무배당연금저축, 금리연동형 [구성요소]; 무배당재물, 금리고정형 [구성요소]; 무배당재물, 금리연동형 [구성요소]; 무배당질병, 금리고정형 [구성요소]; 무배당질병, 금리연동형 [구성요소]; 유배당기타, 금리연동형 [구성요소]; 유배당연금저축"
00164973,현대해상,DI817300,보험계약 정보,20992,1,1,1,1,24,"무배당상해, 금리고정형 [구성요소]; 무배당상해, 금리연동형 [구성요소]; 무배당연금저축, 금리고정형 [구성요소]; 무배당연금저축, 금리연동형 [구성요소]; 무배당재물, 금리고정형 [구성요소]; 무배당재물, 금리연동형 [구성요소]; 무배당질병, 금리고정형 [구성요소]; 무배당질병, 금리연동형 [구성요소]; 유배당기타, 금리연동형 [구성요소]; 유배당연금저축"
00164973,현대해상,DI817305,보험계약 정보 (잔액),20992,1,1,1,1,24,"무배당상해, 금리고정형 [구성요소]; 무배당상해, 금리연동형 [구성요소]; 무배당연금저축, 금리고정형 [구성요소]; 무배당연금저축, 금리연동형 [구성요소]; 무배당재물, 금리고정형 [구성요소]; 무배당재물, 금리연동형 [구성요소]; 무배당질병, 금리고정형 [구성요소]; 무배당질병, 금리연동형 [구성요소]; 유배당기타, 금리연동형 [구성요소]; 유배당연금저축"
00167068,흥국생명,DI817100,보험계약부채 변동,0,0,0,0,0,0,
00167068,흥국생명,DI817105,보험계약부채 잔액,0,0,0,0,0,0,
00167068,흥국생명,DI817300,보험계약 정보,0,0,0,0,0,0,
00167068,흥국생명,DI817305,보험계약 정보 (잔액),0,0,0,0,0,0,
00103176,흥국화재,DI817100,보험계약부채 변동,0,0,0,0,0,0,
00103176,흥국화재,DI817105,보험계약부채 잔액,5024,1,1,1,1,3,일반보험 [구성요소]; 자동차보험 [구성요소]; 장기보험 [구성요소]
00103176,흥국화재,DI817300,보험계약 정보,0,0,0,0,0,0,
00103176,흥국화재,DI817305,보험계약 정보 (잔액),3175,1,1,1,1,3,일반보험 [구성요소]; 자동차보험 [구성요소]; 장기보험 [구성요소]
